"age","albumin","creatinine","glucose","crp","wbc","lymphocyte","mcv","rcdw","ap"
20,43.0072,68.5997,4.8423,0.21,7.0772,32.2272,88.7042,12.6851,81.6413
21,42.9251,68.5997,4.8376,0.21,7.055,32.3969,88.7807,12.6856,80.5536
22,42.8447,68.5997,4.8345,0.21,7.0346,32.5508,88.8518,12.6876,79.569
23,42.7659,68.5997,4.8331,0.21,7.0162,32.6877,88.9175,12.6914,78.6919
24,42.6886,68.5997,4.8333,0.21,7,32.8061,88.9779,12.697,77.9267
25,42.6134,68.5997,4.8352,0.21,6.9861,32.9049,89.0328,12.7046,77.281
26,42.5403,68.5997,4.8388,0.21,6.9742,32.9864,89.082,12.714,76.7487
27,42.4693,68.5997,4.8439,0.21,6.9637,33.0546,89.1259,12.7249,76.3139
28,42.4,68.5997,4.8507,0.21,6.9542,33.1135,89.1647,12.7368,75.9607
29,42.3338,68.5997,4.8591,0.21,6.9498,33.1373,89.1986,12.751,75.7283
30,42.2708,68.5997,4.8693,0.21,6.9518,33.1189,89.2274,12.768,75.6349
31,42.2091,68.5997,4.8811,0.21,6.9546,33.0902,89.2503,12.7863,75.633
32,42.1467,68.5997,4.8943,0.21,6.9531,33.0832,89.2664,12.8042,75.6749
33,42.0837,68.5842,4.91,0.21,6.9422,33.1135,89.2623,12.8245,75.7971
34,42.0206,68.5516,4.9283,0.21,6.9247,33.1642,89.2382,12.8482,76.0317
35,41.9568,68.5229,4.9477,0.21,6.9068,33.2187,89.2136,12.871,76.3247
36,41.8915,68.5191,4.9667,0.21,6.8946,33.2601,89.208,12.889,76.6219
37,41.8268,68.5146,4.9867,0.21,6.8858,33.2952,89.2101,12.9011,76.8929
38,41.7647,68.4958,5.0088,0.21,6.8761,33.3349,89.2058,12.91,77.1651
39,41.7038,68.5013,5.0311,0.21,6.8691,33.369,89.2103,12.9178,77.4709
40,41.6428,68.5699,5.0515,0.21,6.8679,33.3871,89.239,12.9262,77.843
41,41.5723,68.742,5.0702,0.21,6.879,33.3752,89.3128,12.9354,78.3114
42,41.4913,68.9902,5.0887,0.21,6.8999,33.3394,89.4218,12.9439,78.8611
43,41.4106,69.2519,5.1069,0.21,6.9214,33.2995,89.5346,12.9514,79.4568
44,41.3409,69.4646,5.1246,0.21,6.9342,33.2754,89.6202,12.9577,80.0632
45,41.2841,69.6038,5.1431,0.21,6.9409,33.2616,89.6883,12.962,80.7472
46,41.2342,69.7158,5.1626,0.21,6.9487,33.2446,89.7617,12.9645,81.5338
47,41.1902,69.8436,5.181,0.21,6.9546,33.2329,89.8285,12.9663,82.3245
48,41.1511,70.0298,5.1963,0.21,6.9559,33.2351,89.8769,12.9683,83.0206
49,41.1163,70.2353,5.2062,0.21,6.9511,33.2742,89.8941,12.9677,83.6578
50,41.0855,70.4248,5.2123,0.21,6.9421,33.3441,89.8887,12.9638,84.3067
51,41.058,70.6483,5.2179,0.21,6.9308,33.4089,89.8798,12.9608,84.9218
