"age","albumin","creatinine","glucose","crp","wbc","lymphocyte","mcv","rcdw","ap"
20,1.6481,1.6403,1.2396,0.5732,1.3158,1.2003,1.4726,3.2066,0.5261
21,1.633,1.6431,1.2957,0.5781,1.3189,1.1943,1.4824,3.2242,0.5244
22,1.6179,1.6458,1.3524,0.5831,1.3219,1.1885,1.4924,3.243,0.5228
23,1.6029,1.6483,1.4099,0.588,1.3249,1.1828,1.5028,3.2631,0.5213
24,1.5878,1.6507,1.4682,0.5929,1.3279,1.1773,1.5135,3.2844,0.5198
25,1.5728,1.653,1.5271,0.5977,1.3308,1.172,1.5244,3.3068,0.5184
26,1.5577,1.6552,1.5867,0.6024,1.3336,1.1669,1.5357,3.3302,0.517
27,1.5427,1.6575,1.647,0.607,1.3362,1.162,1.5471,3.3545,0.5157
28,1.5276,1.6597,1.7079,0.6116,1.3387,1.1573,1.5586,3.3797,0.5144
29,1.5125,1.6617,1.7693,0.6161,1.3411,1.1528,1.5701,3.4056,0.5131
30,1.4972,1.6635,1.8309,0.6206,1.3434,1.1483,1.5814,3.4321,0.5118
31,1.4819,1.6648,1.8924,0.6251,1.3457,1.1439,1.5925,3.4597,0.5107
32,1.4664,1.6648,1.9544,0.6298,1.3479,1.1395,1.6036,3.4902,0.5099
33,1.4516,1.6649,2.0354,0.6345,1.3481,1.1386,1.6186,3.5277,0.5106
34,1.4374,1.665,2.1254,0.6394,1.3477,1.1387,1.6344,3.5639,0.5122
35,1.4233,1.6654,2.224,0.6443,1.3469,1.1397,1.651,3.5986,0.5146
36,1.409,1.6658,2.3313,0.6489,1.3453,1.1412,1.6676,3.632,0.5177
37,1.3945,1.6657,2.4458,0.6531,1.343,1.1432,1.6833,3.6638,0.5212
38,1.3802,1.6646,2.5662,0.6573,1.3402,1.1454,1.6974,3.6931,0.525
39,1.3667,1.6634,2.6885,0.6614,1.3375,1.1479,1.7089,3.7168,0.5292
40,1.3542,1.6629,2.8089,0.6658,1.3352,1.1503,1.7164,3.733,0.5339
41,1.3425,1.6639,2.924,0.6704,1.333,1.1524,1.72,3.743,0.5391
42,1.3318,1.6667,3.0334,0.6757,1.3308,1.154,1.7202,3.7467,0.5449
43,1.3219,1.6712,3.1389,0.6815,1.3286,1.155,1.7179,3.7432,0.5509
44,1.3128,1.6776,3.2402,0.6877,1.3263,1.1553,1.7133,3.7321,0.5571
45,1.3047,1.6861,3.3376,0.694,1.3242,1.155,1.7067,3.7141,0.5632
46,1.2978,1.6971,3.4299,0.7001,1.3227,1.1543,1.6985,3.6911,0.5689
47,1.2922,1.7112,3.5158,0.7058,1.322,1.1535,1.6895,3.6658,0.5738
48,1.2878,1.7275,3.5944,0.7111,1.3224,1.1526,1.6799,3.6412,0.5779
49,1.2846,1.7451,3.6668,0.7159,1.3239,1.1518,1.6695,3.6197,0.5814
50,1.2829,1.7637,3.7336,0.7205,1.3258,1.1511,1.6588,3.6022,0.5846
51,1.2824,1.7836,3.7934,0.7248,1.3273,1.1507,1.6484,3.5892,0.5876
52,1.2833,1.8052,3.8451,0.7291,1.3275,1.1505,1.6385,3.5797,0.5905
53,1.2855,1.8296,3.889,0.7335,1.326,1.1505,1.6293,3.5728,0.5933
54,1.2886,1.8578,3.9275,0.7377,1.3232,1.1506,1.6214,3.5674,0.5958
55,1.2925,1.8904,3.9635,0.7416,1.3196,1.1508,1.6152,3.5638,0.5978
56,1.2966,1.9275,3.9985,0.7449,1.3156,1.1512,1.611,3.5634,0.5992
57,1.3007,1.9688,4.0327,0.7475,1.3115,1.1515,1.6087,3.568,0.5999
58,1.3042,2.0136,4.066,0.7497,1.3077,1.1519,1.6076,3.5777,0.5997
59,1.3071,2.061,4.0999,0.7515,1.3039,1.1524,1.6071,3.5905,0.5989
60,1.3097,2.11,4.1327,0.753,1.3001,1.1533,1.6066,3.6055,0.5979
61,1.3123,2.1595,4.1639,0.7546,1.2963,1.1543,1.606,3.6216,0.5972
62,1.3149,2.2085,4.1936,0.7561,1.2924,1.1552,1.6055,3.6377,0.5972
63,1.317,2.2565,4.2205,0.7575,1.2882,1.1556,1.6047,3.6525,0.5982
64,1.3185,2.3031,4.2428,0.7588,1.2834,1.1554,1.6038,3.6666,0.6
65,1.319,2.3484,4.2596,0.7598,1.2779,1.1547,1.603,3.6796,0.602
66,1.3182,2.3925,4.272,0.7605,1.2721,1.1534,1.6018,3.6902,0.6038
67,1.316,2.4362,4.2801,0.7607,1.2667,1.1517,1.5995,3.6982,0.6051
68,1.3125,2.4801,4.2815,0.7605,1.262,1.1497,1.5963,3.7043,0.6057
69,1.3081,2.5239,4.2744,0.76,1.2583,1.1481,1.5927,3.7094,0.6057
70,1.3032,2.5662,4.2577,0.7591,1.2557,1.1474,1.5889,3.7144,0.6055
71,1.2978,2.605,4.2327,0.7581,1.2536,1.1478,1.5846,3.7202,0.6057
72,1.2921,2.6379,4.2023,0.7572,1.2514,1.1495,1.5799,3.7261,0.6066
73,1.2857,2.6548,4.1573,0.7563,1.2478,1.1542,1.5753,3.733,0.6085
74,1.2794,2.6683,4.1177,0.7552,1.2446,1.1592,1.571,3.7395,0.6104
75,1.2732,2.681,4.0806,0.754,1.2415,1.1642,1.5668,3.7455,0.6123
76,1.267,2.6933,4.044,0.7528,1.2384,1.1692,1.5627,3.7512,0.614
77,1.2606,2.7054,4.0074,0.7515,1.2353,1.1741,1.5585,3.7569,0.6157
78,1.2542,2.7172,3.9701,0.7502,1.2321,1.179,1.5543,3.7625,0.6173
